,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0,12334676-5fc2-45d8-91ad-ba0ce8542b20,proj32,proj32,accountant,,proj41task1a,,True,budget,proj32,dept8,,False,proj32task2propa,setSchedule,False
1,e49a30f4-1714-4b3d-823c-2e8d30178bd7,proj32,,accountant,,proj31task1a,dept5,False,schedule,proj42,dept5,,True,proj31task1a,setStatus,False
2,5d677315-90c8-4873-9195-bd7c3a18320b,proj42,,accountant,,proj32task1propa,dept2,True,task,proj41,dept6,2.0,True,proj31task1a,setStatus,False
3,7e5599dd-996e-4e53-80e2-d5fd4e91deea,proj31,proj31,accountant,1.0,proj32task2propa,dept6,False,budget,proj32,dept2,1.0,True,proj41task2a,read,False
4,9933ffa9-6c2e-4e00-8ca9-cd83e4ac9451,proj42,proj42,accountant,,proj42task1propa,,True,schedule,proj32,dept7,2.0,True,proj22task2propa,setSchedule,False
5,24cb97dc-3a3f-484f-877c-7efa22efd051,proj41,,accountant,2.0,proj41task1a,,False,task,proj31,dept5,,True,proj41task1a,setCost,False
6,b3b16d71-0419-4f59-ae84-c96964551724,proj31,,accountant,2.0,proj31task2propa,dept5,True,budget,proj42,dept5,1.0,False,proj41task1a,write,False
7,196807a9-48b1-4ddb-95fa-733bc246d59a,proj32,,accountant,2.0,proj42task1propa,,False,task,proj32,dept5,,True,proj31task2propa,setStatus,False
8,fd5cde0c-bd78-4793-920d-4bf8353e8988,proj32,proj32,accountant,,proj31task2propa,dept5,True,schedule,proj42,dept8,,False,proj31task1propa,setSchedule,False
9,c8fba6f0-2834-4aa4-b024-36573981b155,proj42,proj42,accountant,,proj32task2propa,dept5,False,budget,proj41,dept2,,True,proj31task1propa,setStatus,False
10,4ad5b591-6ce3-469e-a12e-2dca52a81dd5,proj31,,accountant,,proj41task2a,dept1,False,budget,proj41,dept1,2.0,True,proj31task2a,setCost,False
11,5088c38a-aa63-457b-8c67-ea6ff778d21e,proj42,proj42,accountant,,proj31task1a,dept2,True,budget,proj31,dept6,2.0,False,proj42task1propa,setStatus,False
12,16b3e7a6-2655-41ca-a821-8f8e06807268,proj41,,accountant,,proj31task2propa,dept8,False,budget,proj31,dept2,1.0,True,proj31task2a,request,False
13,d654f621-42c6-4095-9151-c82bd7bac126,proj42,,accountant,2.0,proj42task1propa,dept8,False,budget,proj41,dept5,1.0,False,proj22task2propa,request,False
14,56bdfb4d-b76a-4a21-bb5c-6d61ac49d714,proj42,,accountant,,proj31task2a,dept7,False,budget,proj32,dept8,,True,proj31task2propa,setStatus,False
15,a66cf376-6ea9-4a26-8b8e-20827340c9af,proj42,proj42,accountant,2.0,proj31task1propa,,False,budget,proj41,dept6,,False,proj31task1propa,approve,False
16,b9dbf6a9-59ab-45f8-a691-8c17b155f58c,proj32,proj32,accountant,1.0,proj31task2a,,False,budget,proj42,dept5,,False,proj32task2propa,approve,False
17,317e52ff-1c94-40cc-a61e-0ea4ef91e7b2,proj31,,accountant,,proj31task2a,dept2,False,task,proj32,dept8,,True,proj32task2propa,setCost,False
18,1c72c1fc-9f7b-4c49-b4e9-96926bedce70,proj41,,accountant,2.0,proj32task2a,,False,schedule,proj42,dept7,2.0,False,proj22task2propa,approve,False
19,6cc0be16-8489-47da-bbc5-5e002f5a04c3,proj32,,accountant,1.0,proj32task2a,,False,budget,proj32,dept2,1.0,True,proj31task1propa,write,False
20,95147256-a1fb-429d-b82d-a25e88792073,proj32,,accountant,2.0,proj31task2propa,,True,schedule,proj42,dept8,1.0,False,proj41task1propa,request,False
21,05fb07e5-f22a-43c6-bb00-c9c896a41279,proj31,,accountant,,proj42task1propa,,False,schedule,proj31,dept8,,False,proj41task2propa,approve,False
22,f8227157-97d5-4bdc-baa6-014b7a451e81,proj41,,accountant,,proj31task2propa,,True,schedule,proj42,dept8,1.0,True,proj31task1a,request,False
23,3a6c1656-9f58-4743-8973-a5cc57431914,proj41,proj41,accountant,1.0,proj41task2propa,,False,schedule,proj41,dept7,,True,proj32task1propa,write,False
24,7d6729d2-51ff-47df-866f-23bd160786e7,proj42,,accountant,1.0,proj31task2a,dept6,True,task,proj32,dept7,,False,proj42task1a,read,False
25,513fffed-e264-4623-96a6-b7310efe2239,proj41,proj41,accountant,2.0,proj42task1a,dept8,True,schedule,proj31,dept8,2.0,False,proj32task1propa,read,False
26,4f5b77a5-b00c-446f-a6da-f584204b57bd,proj31,,accountant,,proj22task2propa,,True,task,proj41,dept2,1.0,False,proj31task2propa,request,False
27,83c0355f-6e60-47b3-9dca-3fcb2f4a535e,proj31,,accountant,2.0,proj31task1a,,True,schedule,proj32,dept2,2.0,True,proj41task1propa,write,False
28,ae14d582-f304-4406-ab06-ec3e5511595e,proj32,,accountant,1.0,proj41task2propa,dept1,False,budget,proj42,dept8,,True,proj31task2a,setSchedule,False
29,a27cfdee-c9c5-42a6-ba3c-21cfae5d344e,proj42,,accountant,1.0,proj31task2a,,True,task,proj32,dept8,,False,proj32task1a,setSchedule,False
30,76ea957f-3568-495d-a389-4635a5810d8e,proj42,proj42,accountant,,proj42task1propa,dept5,True,budget,proj31,dept7,,False,proj42task1propa,approve,False
31,6a4daf3a-597e-4860-b432-7941fba828f8,proj41,,accountant,,proj41task2a,dept7,True,task,proj41,dept5,2.0,False,proj41task1propa,setStatus,False
